Semana;AVG;AOSFATOS;VARIANCE;PERCENT2;HASHTAGS
Semana1;0.42;37;0.0801;16.59;42
Semana2;0.08;1;0.0235;0.45;20
Semana3;0.18;0;0.0787;0;25
Semana4;0.33;16;0.086;7.17;27
Semana5;0.28;0;0.095;0;52
Semana6;0.19;1;0.559;0.45;21
Semana7;0.2;7;0.1023;3.14;23
Semana8;0.35;4;0.1215;1.79;44
Semana9;0.27;3;0.0832;1.35;45
Semana10;0.33;12;0.1083;5.38;51
Semana11;0.19;8;0.0537;3.59;41
Semana12;0.35;26;0.1237;11.66;47
Semana13;0.32;18;0.086;8.07;48
Semana14;0.31;18;0.0958;8.07;37
Semana15;0.21;12;0.1207;5.38;27
Semana16;0.07;0;0.0322;0;21
Semana17;0.21;1;0.0782;0.45;36
Semana18;0.15;2;0.0673;0.9;28
Semana19;0.08;12;0.0244;5.38;25
Semana20;0.32;10;0.1123;4.48;59
Semana21;0.15;0;0.0545;0;29
Semana22;0.23;0;0.0948;0;27
Semana23;0.16;4;0.0463;1.79;23
Semana24;0.37;2;0.1348;0.9;52
Semana25;0.29;2;0.0862;0.9;36
Semana26;0.35;3;0.1156;1.35;58
Semana27;0.46;8;0.0079;3.59;55
Semana28;0.34;3;0.0849;1.35;51
Semana29;0.23;13;0.0788;5.83;42