week,date,percent,line
semana 01,30/12/2019 a 05/01/2020,7.5,memes_bolsonaro
semana 02,06/01/2020 a 12/01/2020,0,memes_bolsonaro
semana 03,13/01/2020 a 19/01/2020,2.5,memes_bolsonaro
semana 04,20/01/2020 a 26/01/2020,1.5,memes_bolsonaro
semana 05,27/01/2020 a 02/02/2020,1,memes_bolsonaro
semana 06,03/02/2020 a 09/02/2020,2.5,memes_bolsonaro
semana 07,10/02/2020 a 16/02/2020,0,memes_bolsonaro
semana 08,17/02/2020 a 23/02/2020,1,memes_bolsonaro
semana 09,24/02/2020 a 01/03/2020,1.5,memes_bolsonaro
semana 10,02/03/2020 a 08/03/2020,2,memes_bolsonaro
semana 11,09/03/2020 a 15/03/2020,2.5,memes_bolsonaro
semana 12,16/03/2020 a 22/03/2020,6,memes_bolsonaro
semana 13,23/03/2020 a 29/03/2020,3.5,memes_bolsonaro
semana 14,30/03/2020 a 05/04/2020,2,memes_bolsonaro
semana 15,06/04/2020 a 12/04/2020,5,memes_bolsonaro
semana 16,13/04/2020 a 19/04/2020,3,memes_bolsonaro
semana 17,20/04/2020 a 26/04/2020,17.5,memes_bolsonaro
semana 18,27/04/2020 a 03/05/2020,8.5,memes_bolsonaro
semana 19,04/05/2020 a 10/05/2020,6,memes_bolsonaro
semana 20,11/05/2020 a 17/05/2020,7,memes_bolsonaro
semana 21,18/05/2020 a 24/05/2020,15.5,memes_bolsonaro
semana 22,25/04/2020 a 31/05/2020,2,memes_bolsonaro
semana 23,01/06/2020 a 07/06/2020,0,memes_bolsonaro
semana 24,08/06/2020 a 14/06/2020,1.5,memes_bolsonaro
semana 25,15/06/2020 a 21/06/2020,0.5,memes_bolsonaro
semana 26,22/06/2020 a 28/06/2020,0,memes_bolsonaro
semana 27,29/06/2020 a 05/07/2020,0,memes_bolsonaro
semana 01,30/12/2019 a 05/01/2020,2.668360864,declaracoes_bolsonaro
semana 02,06/01/2020 a 12/01/2020,1.778907243,declaracoes_bolsonaro
semana 03,13/01/2020 a 19/01/2020,1.524777637,declaracoes_bolsonaro
semana 04,20/01/2020 a 26/01/2020,0.3811944091,declaracoes_bolsonaro
semana 05,27/01/2020 a 02/02/2020,0.5082592122,declaracoes_bolsonaro
semana 06,03/02/2020 a 09/02/2020,2.92249047,declaracoes_bolsonaro
semana 07,10/02/2020 a 16/02/2020,1.27064803,declaracoes_bolsonaro
semana 08,17/02/2020 a 23/02/2020,1.016518424,declaracoes_bolsonaro
semana 09,24/02/2020 a 01/03/2020,0.7623888183,declaracoes_bolsonaro
semana 10,02/03/2020 a 08/03/2020,1.143583227,declaracoes_bolsonaro
semana 11,09/03/2020 a 15/03/2020,2.541296061,declaracoes_bolsonaro
semana 12,16/03/2020 a 22/03/2020,7.242693774,declaracoes_bolsonaro
semana 13,23/03/2020 a 29/03/2020,6.607369759,declaracoes_bolsonaro
semana 14,30/03/2020 a 05/04/2020,6.861499365,declaracoes_bolsonaro
semana 15,06/04/2020 a 12/04/2020,3.557814485,declaracoes_bolsonaro
semana 16,13/04/2020 a 19/04/2020,5.082592122,declaracoes_bolsonaro
semana 17,20/04/2020 a 26/04/2020,3.430749682,declaracoes_bolsonaro
semana 18,27/04/2020 a 03/05/2020,5.336721728,declaracoes_bolsonaro
semana 19,04/05/2020 a 10/05/2020,6.353240152,declaracoes_bolsonaro
semana 20,11/05/2020 a 17/05/2020,4.955527319,declaracoes_bolsonaro
semana 21,18/05/2020 a 24/05/2020,10.41931385,declaracoes_bolsonaro
semana 22,25/04/2020 a 31/05/2020,3.430749682,declaracoes_bolsonaro
semana 23,01/06/2020 a 07/06/2020,3.811944091,declaracoes_bolsonaro
semana 24,08/06/2020 a 14/06/2020,4.320203304,declaracoes_bolsonaro
semana 25,15/06/2020 a 21/06/2020,3.303684879,declaracoes_bolsonaro
semana 26,22/06/2020 a 28/06/2020,7.242693774,declaracoes_bolsonaro
semana 27,29/06/2020 a 05/07/2020,1.524777637,declaracoes_bolsonaro